"","text"
"139","dan karna naik klotok aku bisa sempet kuliah online yg mendadak dan bisa presentasisempet buka laptop kalau naik kapal fery pasti bakalan susah sinyal sih dan nda ada laptop juga makasih ya allah"
"140","nctzenbase hari ini ak kuliah full online trs tadi mau sikat wc gajadi soalnya pantengin kamu livee mwehehe makasih udah bikin aku senyum hari ini krn live kamuu"
"141","gak mimpi kuliah di ptn ikuti try out smbptn juni digbk dptkan tiketnya digeraidaftar online "
"142","sedih banget minggu ini kali belanja online niatnya biar ada baju ganti kuliah biar hemat online aja eh empatempatnya nya salah ukuran"
"143","cowo gua livee tpi mau kuliah malam duh ya allah haechan kamu kenapa live skrngg aku mo kuliah online"
"144","convomfs reschedule kuliah pagi yg offline jadi malem online "
"145","drama kuliah antara pengen online sama offline "
"146","open tutor dan joki buat yg butuh bantuan tugas sd smp sma kuliah  matematika mtk  kalkulus  aljabar linier linear  metode numerik dm soalnya untuk konfirmasi bisa dikerjain atau nggak ya t les kursus online zonauang zonajoki jokitugas jasajoki zonaba"
"147","pengen kuliah di ptn favourite ikuti try out smbptn juni digbk dptkan tiketnya digeraidaftar online "
"148","hrdbacot kuliah mentok ternyata masih bisa dapat rejeki dari lomba lomba online alhamdulillah pernah menang laptop gaming cuma cuma karena modal banyak ikut lomba sekarang masih belum diterima kerja tapi ikut ikut aja dulu "
"149","uner ada yg tau alur pengajuan surat izin kuliah buat memperbaiki absensi ga kirakira ikut alur online atau udah balik offline ya"
"150","gue habis co barang tidak berguna dari live tiktok  sling bag buat apa gitu gue aja jarang keluar amp modelnya juga gue udh punya tote bag oke lah bisa buat kuliah tapi skrg gue kan ujian online macam kalung manik gitu deh pearl necklace padahal udh punya banyak"
"151","post aja org lain mo blg apa yaudah si gue kan ga ganggu tapi emang pas liat story orang tu bikin gue ga nyaman dan ovt krn pas lulus sma gue pindah kota dan ga kuliah gue kerja online jadi gaada temen disini liat story temen pada kuliah keluar sama temennya"
"152","pengen parttime atau magang di perusahaan atau umkm yg bisa full online ada gak yaaa soalnya gue masih kuliah padat dan pengen yg fleksibel aja sihh bismillah semoga aja ada yaa dan bisa nyantol"
"153","svlan intanorii dulu sempet jualan online pas kuliah dan kaget hampi yang beli itu seengaknya seumur bahkan ampe bapak bapak akhirnya paham"
"154","kemarin bilangnya nov skrg des hari ini wifinya dari siang besok kuliah online gimana deh  "
"155","pak bu dosen kulo pengen kuliah kok mah online "
"156","info kampus sbysda full online gais ini udah stress kerjaan sekalian stress kuliah deh biar double stressnya"
"157","plis lahh cepetan beres dong kuliah online nya gw jadi gk bisa nonton anak nih elah"
"158","pengumuman matakuliah yang diampu bapak yose rianugraha rabu bahasa inggris kelas k kuliah dilaksanakan secara online"
"159","punya citacita kuliah sambil kerja kamu bisa pilih binus online learning yang bakal ngasih jadwal fleksibel dan online loh"
"160","pengen kuliah di ptn favourite ikuti try out smbptn juni digbk dptkan tiketnya digeraidaftar online "
"161","anyingg rumah kampus gw gk deket ya mamat sekian kali kuliah online tp ngabarinnya ndadaklu kira tahu bulet enhypen shines at mama enhypenonmama enhypen enhypenmembers enhypen"
"162","seminggu ini kuliah full online sekolah lagi uas dan aku ga jaga tau gitu kmrn gausah pulang dr malang"
"163","emang babi gua udah joki tugas ngejer deadline eh tiba tiba matkul kedua online jugaa udah nahan ga ikut temen temen pergi karna mau kuliah eh dosen nya bilang hari ini tidak ada kuliah"
"164","hall sobat daring yg cari joki tugas bisa ke rumah skripsi ya kak menerima jasa proposalskripsieditingolah data daftar pustaka makalah ppt  semua tugas sekolah maupun kuliah "
"165","kangen kuliah online aja pls lumayan hemat duit sama cucian dikit"
"166","bot nya gak jalan internet nya juga putus putus dari tadi gimana sih ada kuliah online bntr lg myrepublicid "
"167","hanyuttenggelam lebih ke kuliah nya online sampe lulus sih kak wkwk ke kampus tu cuma ambil ktm sama almamater plus gaada bem juga"
"168","dewimaysaa halloo teman sorry oot aku butuh responden untuk isi kuisioner tugas kuliah ku untuk kalian pengguna aplikasi pemesanan tiket bioskop online "
"169","convomfs dari keluarga besar yang kuliah cuma mas sepupu sama aku kalo kamu yakin pasti da jalan bisa ambil kelas malem kelas karyawan disambi part time atau ambil kuliah online di ut"
"170","heran dah kuliah online mulu gatau apa orang pen ketemu"
"171","malu bangeet lgi kuliah online lupa offcam pas buka kerudung  smoga aja gada yg nyadar "
"172","banjarbase kayanya mending sbux deh mun km hndk kuliah daring"
"173","wal fore dm tu ada wifinya lah lawan wdhnya pw kd gasan kuliah daring"
"174","serba serbi kuliah online kesekian kalinya ini sgt awikwok "
"175","samsungid memang mantab mygalaxywish itu ngasih adik guegalaxya yang keren karena punya baterai mah amp mp dual camera buat dia kuliah online pasti kameranya jernih ditambah baterainya kuat seharian si samsungperfectgift galaxygifts yuk ikutan aliferdi"
"176","samsungid mau ikutan mygalaxywish itu ngasih adik guegalaxya yang keren karena punya baterai mah amp mp dual camera buat dia kuliah online pasti kameranya jernih ditambah baterainya kuat seharian si samsungperfectgift galaxygifts yuk ikutan aliferdi"
"177","samsungid ih wow mygalaxywish itu ngasih adik guegalaxya yang keren karena punya baterai mah amp mp dual camera buat dia kuliah online pasti kameranya jernih ditambah baterainya kuat seharian si samsungperfectgift galaxygifts yuk ikutan aliferdi"
"178","samsungid penasaran gak kalian mygalaxywish itu ngasih adik guegalaxya yang keren karena punya baterai mah amp mp dual camera buat dia kuliah online pasti kameranya jernih ditambah baterainya kuat seharian si samsungperfectgift galaxygifts yuk ikutan aliferdi"
"179","jog saran wifi sk terjangkau lur nek bisa sk daerah bantul selatan aman koneksine ming go penggunaan harian karo kuliah daring suwun"
"180","kuliah mbayar lwarang tapi online terus"
"181","dosen gue pelihara burung tiap kuliah online pada saut sautan berisik"
"182","samsungid bagus ya ini mygalaxywish itu ngasih adik guegalaxya yang keren karena punya baterai mah amp mp dual camera buat dia kuliah online pasti kameranya jernih ditambah baterainya kuat seharian si samsungperfectgift galaxygifts yuk ikutan kikilalasanrio"
